variable,value,attribute,type
AI_Assets,86,AI,Assets
AI_Requirements,220,AI,Requirements
CS_Assets,455,CS,Assets
CS_Requirements,1856,CS,Requirements
C_Assets,61,C,Assets
C_Requirements,228,C,Requirements
ML_Assets,495,ML,Assets
ML_Requirements,1543,ML,Requirements
R_Assets,150,R,Assets
R_Requirements,735,R,Requirements
SAS_Assets,78,SAS,Assets
SAS_Requirements,317,SAS,Requirements
bachelor_Assets,174,bachelor,Assets
bachelor_Requirements,1255,bachelor,Requirements
bigquery_Assets,13,bigquery,Assets
bigquery_Requirements,59,bigquery,Requirements
cnn_Assets,6,cnn,Assets
cnn_Requirements,41,cnn,Requirements
docker_Assets,37,docker,Assets
docker_Requirements,118,docker,Requirements
graduateEducation_Requirements,1908,graduateEducation,Requirements
hadoop_Assets,222,hadoop,Assets
hadoop_Requirements,897,hadoop,Requirements
java_Assets,228,java,Assets
java_Requirements,1028,java,Requirements
jira_Assets,20,jira,Assets
jira_Requirements,87,jira,Requirements
master_Assets,15,master,Assets
master_Requirements,1603,master,Requirements
nlp_Assets,55,nlp,Assets
nlp_Requirements,196,nlp,Requirements
phd_Assets,9,phd,Assets
phd_Requirements,766,phd,Requirements
programming_Assets,267,programming,Assets
programming_Requirements,1187,programming,Requirements
python_Assets,447,python,Assets
python_Requirements,2367,python,Requirements
rnn_Assets,6,rnn,Assets
rnn_Requirements,44,rnn,Requirements
scala_Assets,160,scala,Assets
scala_Requirements,795,scala,Requirements
spark_Assets,236,spark,Assets
spark_Requirements,1000,spark,Requirements
sql_Assets,419,sql,Assets
sql_Requirements,2069,sql,Requirements
statistics_Assets,401,statistics,Assets
statistics_Requirements,1494,statistics,Requirements
tableau_Assets,154,tableau,Assets
tableau_Requirements,705,tableau,Requirements
university_Requirements,2555,university,Requirements
